県,県No,学校名,出場回数,対戦校,試合,打率,総得点,安打,長打,本塁打,犠打,盗塁,投手数,投球回数,失策,失点,防御率
沖縄,49,嘉手納,17,明徳義塾,6,0.322,36,64,15,4,12,4,1,29,3,4,5.9
高知,41,明徳義塾,18,嘉手納,4,0.318,20,41,11,2,5,9,1,43.3,4,7,1.45
熊本,45,秀岳館,2,いなべ総合,5,0.405,48,70,17,0,8,31,2,29.3,1,7,0.92
三重,26,いなべ総合,2,秀岳館,5,0.353,37,53,7,1,6,9,2,25.7,7,13,1.75
岩手,4,盛岡大付,9,鳴門,6,0.395,57,73,23,2,14,11,1,28,6,7,1.93
徳島,38,鳴門,11,盛岡大付,4,0.294,18,35,13,1,14,4,2,34.7,3,4,0.78
茨城,9,常総学院,16,履正社,6,0.31,39,53,13,3,9,12,2,53,4,4,0.68
大阪,29,履正社,3,常総学院,8,0.404,79,91,26,7,20,6,2,39.7,12,5,0.91
愛知,25,東邦,17,聖光学院,6,0.286,35,56,9,6,10,19,1,32.7,3,15,2.2
福島,8,聖光学院,13,東邦,6,0.333,39,61,13,3,16,13,1,34,5,4,0.53
埼玉,12,花咲徳栄,4,作新学院,7,0.389,68,81,16,4,22,8,2,32,3,15,2.25
栃木,10,作新学院,12,花咲徳栄,6,0.432,68,80,19,2,5,9,1,37,0,3,0
千葉,13,木更津総合,5,広島新庄,7,0.275,30,55,10,2,22,11,1,44,5,10,2.05
広島,36,広島新庄,2,木更津総合,6,0.366,48,67,13,3,23,22,1,46,3,11,2.15
宮崎,47,日南学園,8,北海,5,0.377,49,63,16,1,11,6,1,41.3,5,10,1.53
南北海道,2,北海,37,日南学園,7,0.379,50,80,15,3,34,2,1,31,5,5,0.87
