県,県No,学校名,出場回数,対戦校,試合,打率,総得点,安打,長打,本塁打,犠打,盗塁,投手数,投球回数,失策,失点,防御率,予想得点力
茨城,9,常総学院,16,秀岳館,6,0.31,39,53,13,3,9,12,2,25.7,7,13,1.75,7.81776009
熊本,45,秀岳館,2,常総学院,5,0.405,48,70,17,0,8,31,2,39.7,12,5,0.91,5.64335358
徳島,38,鳴門,11,明徳義塾,4,0.294,18,35,13,1,14,4,1,29,3,4,5.9,5.51503854
高知,41,明徳義塾,18,鳴門,4,0.318,20,41,11,2,5,9,1,28,6,7,1.93,7.89315594
南北海道,2,北海,37,聖光学院,7,0.379,50,80,15,3,34,2,1,32.7,3,15,2.2,4.44635087
福島,8,聖光学院,13,北海,6,0.333,39,61,13,3,16,13,1,41.3,5,10,1.53,5.33529449
栃木,10,作新学院,12,木更津総合,6,0.432,68,80,19,2,5,9,1,46,3,11,2.15,6.22705514
千葉,13,木更津総合,5,作新学院,7,0.275,30,55,10,2,22,11,2,32,3,15,2.25,4.58242269
